Isolation Forest (PCA),Isolation Forest (Stats),Mahalanobis Distance,Combined (≥2 methods),row_index
False,False,False,False,ACH-001641
False,False,False,False,ACH-000056
False,False,False,False,ACH-000483
False,False,False,False,ACH-003308
True,True,False,True,ACH-000514
False,False,False,False,ACH-000051
False,False,False,False,ACH-003433
False,False,False,False,ACH-000043
False,False,False,False,ACH-000936
False,False,False,False,ACH-000716
False,False,False,False,ACH-000988
False,False,False,False,ACH-000952
True,False,False,False,ACH-001350
False,False,False,False,ACH-000065
False,False,False,False,ACH-000609
False,False,False,False,ACH-001411
False,False,False,False,ACH-000504
False,True,False,False,ACH-002677
False,False,False,False,ACH-000956
False,False,False,False,ACH-001712
False,False,False,False,ACH-000652
False,False,False,False,ACH-000414
False,False,False,False,ACH-000472
False,False,False,False,ACH-000007
False,False,False,False,ACH-000446
False,False,False,False,ACH-003071
False,False,False,False,ACH-000386
False,False,False,False,ACH-001850
False,False,False,False,ACH-000755
False,True,False,False,ACH-001503
False,False,False,False,ACH-000028
False,False,False,False,ACH-000665
False,True,False,False,ACH-001679
False,False,False,False,ACH-000078
False,False,False,False,ACH-002046
False,False,False,False,ACH-000397
False,False,False,False,ACH-003145
False,False,False,False,ACH-000229
False,False,False,False,ACH-002925
False,False,False,False,ACH-000518
False,False,False,False,ACH-001566
False,False,False,False,ACH-000252
False,False,False,False,ACH-000572
False,False,False,False,ACH-001605
False,False,False,False,ACH-002522
False,False,False,False,ACH-000277
False,False,False,False,ACH-001239
False,False,False,False,ACH-000786
True,False,False,False,ACH-000803
False,False,False,False,ACH-001970
False,False,False,False,ACH-002038
False,False,False,False,ACH-000537
False,False,False,False,ACH-002660
False,False,False,False,ACH-002806
False,False,False,False,ACH-000419
False,False,False,False,ACH-002782
False,False,False,False,ACH-000724
False,False,False,False,ACH-000522
True,False,False,False,ACH-001549
False,False,False,False,ACH-000706
True,False,False,False,ACH-000737
False,False,False,False,ACH-000548
False,False,False,False,ACH-001839
False,False,False,False,ACH-001799
False,False,False,False,ACH-001573
False,False,False,False,ACH-002946
False,False,False,False,ACH-000425
False,True,False,False,ACH-003103
False,False,False,False,ACH-000375
False,False,False,False,ACH-000753
False,False,False,False,ACH-000275
False,False,False,False,ACH-000735
False,False,False,False,ACH-000654
False,False,False,False,ACH-001067
False,False,False,False,ACH-000170
False,False,False,False,ACH-001394
False,False,False,False,ACH-001433
False,False,False,False,ACH-000404
False,False,False,False,ACH-000882
False,False,False,False,ACH-001509
False,False,False,False,ACH-000210
False,False,False,False,ACH-000254
False,False,False,False,ACH-000604
False,False,False,False,ACH-000090
False,False,False,False,ACH-000195
False,True,False,False,ACH-001791
False,False,False,False,ACH-001650
False,False,False,False,ACH-000605
False,False,False,False,ACH-000458
False,False,False,False,ACH-003121
True,False,False,False,ACH-003125
False,False,False,False,ACH-002084
False,False,False,False,ACH-000004
False,False,False,False,ACH-000251
